pi_name,organization,project_title,award_amount,start_date,award_date,abstract
"BACK, STEPHEN ARTHUR",,Mechanisms of Hypoxia-Mediated Disturbances in Cerebral Maturation in a Fetal Ovine Model of Maternal Sleep Apnea,607641,,2026-02-09T00:00:00,"Project Summary
Although sleep apnea arising from sleep-disordered breathing commonly occurs during pregnancy, the
cumulative impact of brief repetitive episodes of maternal intermittent hypoxia (IHx) on fetal brain development
is unknown. We have developed a novel clinically relevant model of maternal IHx, which reproducibly results in
fetal systemic IHx early in the third trimester. The fetal hippocampus appears to be particularly sensitive to
maternal IHx, which chronically disrupts neuronal activity and cellular mechanisms of learning and memory. Our
over-riding hypothesis is that maternal IHx globally disrupts fetal cerebral development and results in persistent
changes in postnatal learning and memory. In aim 1, we will first employ near infrared spectroscopy to define
cerebral tissue hypoxemia in awake fetuses subjected to maternal IHx in utero. We will next determine the
susceptibility of the fetal hippocampus to cell death, inflammation and white matter injury. We will also determine
the impact of maternal IHx on disturbances in maturation of neuronal dendrites and spine density, which shape
behaviorally important neural circuits, which regulate synaptic plasticity and neurotransmission during
development. Complementary electrophysiological studies will determine the functional effects of IHx on synaptic
transmission, long-term synaptic potentiation (LTP) and intrinsic excitability of hippocampal neurons to fire action
potentials; which are all key cellular mechanisms that mediate learning and memory in vivo. Aim 2 will employ
complementary advanced MRI and morphometric approaches to analyze the relative susceptibility of
hippocampal-related brain regions to fetal IHx, which could inform future clinical studies by defining the global
impact of maternal IHx on key brain regions required for optimal neurodevelopment and circuit formation. We
will determine the spectrum of regional disturbances in fetal brain growth and maturation, cell death, inflammation
and myelination and provide a quantitative analysis of differences in fetal brain volume differences. In aim 3,
mechanistic fetal hippocampal studies will test the hypothesis that enhancing hippocampal synaptic transmission
at CA3-CA1 synapses will reverse maternal IHx-mediated disturbances in fetal hippocampal synaptic plasticity,
which underlie the developmental maturation of cellular mechanisms of learning and memory. We will determine
in 3.1 the contribution of disturbances in AMPA and NMDA receptor subunit composition and expression levels
to disturbances in glutamatergic synaptic transmission and LTP. In 3.2, we will determine the efficacy of an
allosteric AMPA receptor agonist (ampakine) to strengthen synaptic transmission and plasticity in vitro. In 3.3,
We will undertake pioneering neurobehavioral studies to determine if disrupted fetal hippocampal synaptic
plasticity results in persistent hippocampal learning and memory deficits in juvenile lambs. Our long-term
objectives are to define mechanisms through which maternal IHx disrupts fetal cerebral maturation and develop
strategies to mitigate pregnancy-associated complications of maternal IHx on brain development, which may
improve learning and memory."
"BADOVINAC, VLADIMIR P",,Impact of whole-body radiation exposure on pathogen-specific memory CD8 T cells,649484,,2026-02-10T00:00:00,"Accidental or deliberate radiation exposure of humans remains a major health concern, due to the paucity of
medical countermeasures (MCMs) to ameliorate radiation-induced damage. While high dose radiation
exposure is generally fatal, even low dose whole body (WBI) or partial radiation exposure can have acute-
and/or delayed- negative impacts that appear to act through disruption of the immune system. The
cytoreductive effects of WBI have long been exploited in conjunction with chemotherapy as a preparative
regimen prior to hematopoietic stem cell transplant in patients with blood cancer to deplete malignant cells and
suppress the immune system. While there is strong evidence that radiation kills rapidly dividing cells, a
hallmark of the immune system, and induces inflammation that can mediate tissue destruction, the precise
nature of radiation induced immune-dysfunction is not well understood. This knowledge gap is a key
impediment to development of MCMs to treat radiation exposure. For one example, memory CD8 T cells
provide enhanced resistance to re-infection and malignancies. However, most studies in the literature examine
the impact of radiation exposure on the capacity of the host’s naïve CD8 T cells to mount a new (primary)
immune response and just a few reports have looked at how radiation exposure influences the longevity and
protective capacity of pre-existing pathogen or vaccine-induced CD8 T cell memory. Memory CD8 T cell
populations have the job of surveying the entire body for signs of re-infection. They accomplish this task using
two complimentary and interactive strategies. This first strategy involves populations of memory CD8 T cells
that survey the body by using the circulatory system (circulating memory CD8 T cells - Tcircm). The second
strategy involves the generation of a population of non-circulating memory CD8 T cells (called T resident
memory, Trm), generally in the tissue of pathogen entry. These cells, which persist long-term in tissues, provide
rapid detection of re-invading pathogens and then send out mediators to recruit other cells of the immune
system to the site of infection. Importantly, our recent data obtained after WBI or partial (targeted) thorax
radiation suggest that sublethal ionizing radiation inflicted numerical and functional damage to Tcircm and Trm
cells that diminished their ability to provide protection to pathogen-re-encounter. Our long-term goal is to
precisely identify mechanisms that govern maintenance, differentiation and function of infection and/or vaccine-
induced memory CD8 T cell subsets and explore modalities to recover memory CD8 T cell responses in
radiation survivors. We will address our long-term goal through the following specific aims: SA1 - Delineate the
tissue-specific impact of WBI on pathogen-specific Trm and evaluate targeted vaccine strategies to restore
memory CD8 T cell numbers and function after irradiation. SA 2 - Define mechanisms underlying WBI-induced
numerical and functional diminishment of Tcircm and exhausted (Tex) CD8 T cells generated after acute or
chronic viral infections."
"BAILEY, ADAM LEE",,Pathophysiology of Severe Yellow Fever,729189,,2026-02-10T00:00:00,"PROJECT SUMMARY/ABSTRACT
Yellow fever (YF) is a serious mosquito-borne disease (~80,000 deaths annually) endemic to Africa and South
America that is poised for emergence/re-emergence on a global scale. YF is caused by the yellow fever virus
(YFV), which replicates primarily in the liver where it causes significant damage and organ dysfunction.
Although treatment of YF is limited to supportive care, a highly effective live-attenuated YF vaccine (known as
“17D”) was created in the 1930s. 17D differs from its parental strain, “Asibi,” by only 22 amino acids; however,
the mutations responsible for the attenuation of 17D remain unknown. A major barrier to understanding 17D
attenuation and YF pathogenesis is the lack of an immunocompetent small animal model that faithfully
recapitulates important aspects of human YF disease. In collaboration with physicians and pathologists in
Brazil, we have shown that infection of hamsters with hamster-adapted YFV-Asibi recapitulates human YF
extremely accurately. Using this model, we have begun to tackle the most pressing questions in the YFV field.
 We developed a highly flexible reverse genetics system for YFV that enabled us to create large panels
of hamster-adapted (HA)-17D/Asibi chimeric viruses. Using disease in the hamster as our primary readout, we
identified two mutations in17D’s NS2B gene that, when introduced into HA-Asibi, completely abolish YF
disease but have a relatively small impact on viral replication. It is well established that YFV-Asibi and
YFV-17D evoke significantly different antiviral type I interferon (IFN) response, with YFV-17D inducing
significantly more IFN than YFV-Asibi. Therefore, in Aim 1, we will first study the relationship between these
two NS2B mutations, IFN induction, viral replication, and attenuation. We will determine the molecular basis for
differential IFN responses between YFV-Asibi and YFV-17D. And finally, we will identify and characterize the
innate immune factors that are antagonized by virulent, but not attenuated, YFV.
 Using the hamster model and specimens collected from YF patients in Brazil, we recently discovered
that gastrointestinal (GI) damage plays a central role in the development of YF intoxication by allowing gut
bacteria to opportunistically spread within the virus-ravaged host. Thus, intoxication is a septic-shock-like
syndrome. There is now an urgent need to understand the drivers of GI damage in YF. Our preliminary studies
have shown that YFV does not infect cells in the GI tract. Therefore, in Aim 2, we will seek to understand how
YFV infection causes severe GI damage. First, we will determine the anatomical distribution of GI damage in
the hamster model. Next, we will determine the anatomic distribution of vascular damage in YF. And finally, we
will determine if the viral toxin NS1 is responsible for causing YFV-mediated GI damage.
 This project integrates viral genetics, antiviral immunity, and recent insights into YF intoxication into a
new unified mechanism of YFV pathogenesis. This research has real-world implications for improving vaccine
safety/efficacy and developing interventions aimed at reducing the morbidity and mortality of YF."
"BAKAS, TAMILYN ",,Telehealth Assessment and Skill-Building Intervention for Stroke Caregivers (TASK III),528362,,2026-02-12T00:00:00,"Project Summary/Abstract:
Stroke is a leading cause of serious, long-term disability, and has a very sudden onset. Families are often
thrust into providing care without sufficient training from health care providers, having to learn on their own to
provide care. Studies show that caregiving without proper training can be detrimental to caregiver’s physical
and mental health, which can impede survivor rehabilitation and lead to institutionalization and higher societal
costs. Unlike existing stroke caregiver interventions, which require costly face-to-face interactions, and that
focus primarily on the survivor’s care, the nurse-led Telephone Assessment and Skill-Building Kit (TASK II) is
delivered completely by telephone, and empowers caregivers to address both their own and the survivor’s
needs using innovative skill-building strategies. Aligned with current patient and caregiver guidelines, TASK II
demonstrated evidence of content validity, treatment fidelity, caregiver satisfaction, and efficacy for reducing
caregiver depressive symptoms; however, TASK II revealed a need for a stronger focus on self-management
(SM) strategies to improve caregiver symptoms and health, along with enhanced use of other telehealth modes
of delivery. In an NINR-funded R21, the Telehealth Assessment and Skill-building Kit (TASK III) was optimized
through the innovative leveraging of technologies and SM strategies to improve stroke family caregiver
symptoms and health. A new goal setting tip sheet promotes caregivers’ self-management of their own
symptoms and health through the use of novel skill-building strategies. Caregivers now choose how they want
to access the TASK III Resource Guide (mailed hard copy, eBook, USB drive, or interactive website
(https://www.task3web.com/) and how they would like to interact with the nurse (telephone, FaceTime, or
online videoconferencing). Preliminary TASK III data provided evidence for feasibility of recruitment, retention,
treatment fidelity, high satisfaction, and positive data trends in 74 stroke family caregivers randomized to TASK
III (n=36) or to an Information, Support, and Referral (ISR) group (n=38). The purpose of the proposed study is
to test short-term (immediately post-intervention at 8 weeks) and long-term (12, 24, and 52 weeks) efficacy of
the TASK III intervention, compared with the ISR group, in 296 stroke caregivers. The primary outcome is
caregiver life changes (i.e., physical health, physical functioning, emotional well-being, general health) as a
result of providing care. Secondary outcomes include depressive symptoms (in caregivers with mild to severe
depressive symptoms), other symptoms (stress, fatigue, sleep, pain, shortness of breath), unhealthy days, SM
of diet/exercise, and self-reported healthcare utilization. Theoretically-based mediators include task difficulty,
threat appraisal, and self-efficacy. Program evaluation outcomes (satisfaction, technology ratings) will also be
analyzed. If TASK III is shown to be efficacious in the proposed randomized controlled clinical trial, our next
goal will be to translate TASK III into ongoing stroke systems of care; and to adapt it for use among caregivers
with other debilitating/chronic conditions providing a tremendous public health impact."
"BALYASNIKOVA, IRINA V",,Targeting SEC61 complex to overcome resistance to immunotherapy in GBM,519870,,2026-02-10T00:00:00,"Glioblastoma (GBM) is an incurable brain tumor with a median overall survival of less than 15 months. The recent
success of immunotherapy in extracranial malignancies has translated into trials for GBM. Despite its promise,
immunotherapy's clinical efficacy has yet to be shown for GBM. The resistance to immunotherapy in GBM is
multifactorial. To uncover the targets and pathways contributing to resistance in GBM, we designed and
performed an unbiased, genome-wide CRIPR-Cas9 knockout screen screening in a glioma cell line under a
cytotoxic T-cell mediated selection pressure. This screen identified SEC61subunit gamma (SEC61G) as a gene
involved in immunotherapeutic resistance in GBM. SEC61G is a component of the SEC61 translocon complex
in the endoplasmic reticulum. Our data shows that SEC61G is highly expressed in GBM, with genomic
amplification seen in up to 30-40% of GBM patients. Knocking out SEC61G sensitized glioma cells to T cell-
mediated therapy in vitro. Proteomic analysis of SEC61G knockout cells revealed an interplay of SEC61G
expression with the activation of the MAPK pathway in glioma cells. The proposed pre-clinical investigation aims
to understand the role SEC61G in immunotherapeutic resistance in GBM and to evaluate SEC61G as a
therapeutic target in combination with immunotherapy. We hypothesize that SEC61G confers resistance to T
cell-mediated immunotherapy in GBM and that targeting SEC61G can significantly enhance the response
of GBM to immunotherapy. This hypothesis will be tested in three Specific Aims. SA1 will investigate how
SEC61G overexpression interconnects with the MAPK pathway and contributes to the T cell-mediated
therapeutic resistance in glioma cells. SA2 will determine the contribution of SEC61G to the immunosuppressive
tumor microenvironment impeding the responses of T cells in GBM. SA3 will investigate SEC61G treatment
regimens in combination with T-cell mediated therapies using murine and human models of GBM. Upon
completing these studies, we will understand the mechanisms underlying SEC61G-mediated immunotherapeutic
resistance, characterize SEC61G as a therapeutic target, and yield translational results for the treatment of GBM
and potentially other solid tumors."
"BARNES, GEOFFREY DOUGLAS",,Michigan Emergency Department Improvement Collaborative AltERnaTives to admission for Pulmonary Embolism (MEDIC ALERT PE) Study,774549,,2026-02-12T00:00:00,"PROJECT SUMMARY
Of the 250,000 annual patients in the United States with acute pulmonary embolism (PE), the majority are at
low risk for morbidity and mortality. In fact, evidence-based guidelines suggest that up to 50% of patients with
an acute PE are at sufficiently low risk for complications that they can be safely managed without hospital
admission. Yet fewer than 5% of patients nation-wide are currently discharged for outpatient management.
Reliable access to anticoagulant medications and outpatient follow-up are commonly cited barriers to
outpatient management. However, prevailing heuristics used by Emergency Medicine clinicians to enable rapid
decision-making also firmly link acute PE with hospital admission, and likely makes behavior change for these
busy clinicians more challenging. Multiple prior efforts to reduce hospital admission for low-risk patients with
acute PE have been limited by single-center designs, inclusion of homogenous and highly-resourced health
systems, or have lacked a robust implementation plan underpinning to their design and evaluation. Using the
diverse, state-wide Michigan Emergency Department Improvement Collaborative (MEDIC), we will refine,
tailor, and evaluate a multi-component intervention suitable for broad dissemination to increase the use of
outpatient management of low-risk acute PE for patients presenting to the emergency department. Following
an implementation mapping approach built upon published literature and our preliminary findings, our
intervention will address key barriers identified by a diverse group of stakeholders by combining traditional
implementation science and behavioral economics strategies. Importantly, electronic alerts will be informed by
user-centered design approaches to fit within the clinician workflow and decision-making process and “right
sized” to appear only for applicable patients. Evaluation will include both quantitative and qualitative elements
from the RE-AIM implementation evaluation framework. This multi-component intervention will facilitate a
patient-centered approach to clinical decision-making that improves value by reducing unnecessary
hospitalization for patients with low-risk PE. Furthermore, by tailoring and evaluating this intervention within a
diverse set of hospitals, our multi-component intervention will be well positioned for dissemination nation-wide.
Finally, our use of multi-site implementation mapping will provide a blueprint for other multi-site collaboratives
interested in improving outcomes for a broad array of clinical conditions through rigorous quality improvement
and implementation initiatives."
"BATHE, MARK ",,Investigation of Synthetic DNA-based Viral Particles for Spatially Controlled Antigen Presentation,844182,,2026-02-09T00:00:00,"PROJECT SUMMARY
HIV and influenza pose major health burdens in the US and worldwide, claiming hundreds of thousands of lives
annually, with the latter additionally posing a significant pandemic threat. Protein subunit vaccines formulated as
nanoparticles with multivalent display of pathogenic immunogens are a proven, successful strategy to safely and
effectively induce long lasting humoral, antibody-based immunity. Indeed, this strategy may be particularly
important for challenging-to-neutralize pathogens such as HIV, which still does not have an approved
preventative vaccine, and for designing future-proofed vaccines against the rapidly evolving pathogen influenza
that poses an ongoing pandemic threat. However, to date it remains unclear what the optimal characteristics of
nanoparticulate vaccines are. In addition, because most particulate subunit vaccines are composed of protein
virus-like particles (P-VLPs) that multivalently display pathogenic antigens that are the target of broadly
neutralizing antibody (bnAb) responses, it remains unclear whether the protein scaffolds used to formulate these
VLPs are in themselves eliciting humoral immune responses that distract the immune system away from the
pathogenic antigens of interest. In this project, we previously discovered that DNA-based VLPs (D-VLPs) can
be used to spatially organize antigens multivalently in a manner similar to P-VLPs to elicit humoral antibody
responses across multiple pathogens, yet without the protein-based scaffold VLP and resulting off-target
antibody response. Here, we investigate how D-VLPs can be used to optimize priming, shepherding, and
polishing phases of HIV vaccination using sequential introduction of engineered immunogens to drive the
generation of target bnAbs. Specifically, we test the relative roles of antigen copy number, spacing, VLP size
and geometry, glycosylation, and passivation, on lymph node targeting, germinal center formation, and on-target
B cell activation. We investigate how these principles can be used together with controlled presentation of T cell
helper epitopes and cytokine co-delivery to promote robust, long-lived GCs that result in bnAbs for HIV. Finally,
we explore how the D-VLP platform generalizes to the distinct, challenging-to-neutralize pathogen influenza,
towards identifying future-proofed vaccines to avert pandemic threats. Taken together, these results will help
elucidate optimal VLP design rules for HIV and influenza, and may eventually also offer a clinically relevant new
vaccine platform in future work."
"BATISTA, AARON PAUL",,Interrogating and Perturbing Neural Dynamics,571586,,2026-02-09T00:00:00,"Interrogating and Perturbing Neural Population Dynamics
Project Summary
Our behavior and our mental functions, such as movement, perception, memory, cognition, and emotional
processing are mediated by the flow of neural signals through our central nervous system. When these
functions are disrupted in neurological and psychiatric disease those disruptions are manifested in alterations
to the brain’s healthy dynamics. The standard of care involves psychotropic medications, and more recently,
neuromodulation therapies. We seek to develop an alternative approach to adjusting the brain’s dynamical
activity. We propose to use the paradigm of a Brain-Computer Interface (BCI) to monitor and alter neural
activity patterns. Here we initiate this long-term vision in the arm movement system of Rhesus monkeys. It is
well-established that the primate motor cortex exhibits rich and robust dynamical structure. These dynamics
are engaged by working memory tasks in which one must remember a future reach target, in order to prepare
an accurate movement. We will train monkeys to jointly perform memory-guided reaching and BCI tasks. This
will enable us to, for the first time, build a comprehensive picture of the neural population dynamics instantiated
during motor memory maintenance, and probe how these memories evolve during practice. We will also use
the BCI framework to alter those dynamics. Because we are working in the arm movement system, we have a
clear-cut “readout” of the efficacy of altering population dynamics: we can observe the resulting changes in arm
movements as evidence of the influence of our BCI-based remediations. We expect this toolbox will generalize
to further parts of the central nervous system that are important for other cognition and emotional processing
operations. BCI control provides powerful advantages over traditional therapies in that the adjustments to
neural activity patterns that it affords can be both natural and goal-directed. This project is timely in two ways:
First, there is a growing appreciation of the need for alternatives to pills for the treatment of neurological and
psychiatric conditions such as depression, drug addiction, and the recovery from stroke. Second, our work is
deeply informed by the mathematical principles of “computation through dynamics”, which are giving rise
simultaneously to revolutions in both neuroscience and artificial intelligence."
"BEBELL, LISA M",,Advancing neurodevelopmental outcome prediction in children exposed to HIV using clinical features and placental imaging,22786,,2026-02-11T00:00:00,"PROJECT SUMMARY
More than one million children who are HIV-exposed but uninfected (CHEU) are born to pregnant people with
HIV (PPHIV) every year. CHEU have a higher risk of adverse early-life outcomes than HIV-unexposed peers,
including neurodevelopmental deficits and a >2-fold risk of growth stunting. The pathophysiology of adverse
CHEU outcomes is incompletely understood, but mounting evidence suggests that placental abnormalities play
a key role. A better understanding of the causes and mechanisms of poor developmental outcomes in CHEU is
essential to improve the care of PPHIV and their offspring. Our overarching goal is to determine which 1) clinical,
2) placental histological, and 3) placental stereologic features predict adverse CHEU neurodevelopmental and
growth outcomes. Leveraging our ongoing multi-country (Uganda, South Africa) birth cohort (n=1,200) and linked
placental biobank, we will perform state-of-the-art 3D placental stereology and build artificial intelligence (AI)
classifier models to predict CHEU child health outcomes, employing causal inference and instrumental variable
analysis to account for confounding. We will also perform mediation analysis to determine whether placental
features mediate the relationship between clinical and laboratory features and child outcomes. Innovation:
Distinct advantages of our proposed research include 1) simultaneous collection and comparison of CHEU and
HIV/antiretroviral-unexposed placentas and children, 2) use of rich clinical data and complementary methods
[3D stereologic imaging and histopathology] to evaluate associations between placental abnormalities and
adverse CHEU neurodevelopmental and growth outcomes, and 3) use of causal inference and mediation
analysis methods to identify key and modifiable features. Investigators: Our interdisciplinary team with expertise
in placental collection and birth cohorts (Bebell, Gray), placental pathology and AI (Goldstein), bioinformatics, AI,
and mediation analysis (Dreyfuss, Kawuma), placental ARV effects (Serghides), developmental psychology
(Malcolm-Smith), and pediatric neurodevelopment (Donald) is well-poised to complete this work. Approach: We
will leverage biobanked placental samples and extend follow-up of enrolled mother-child dyads in Dr. Bebell’s
(R01HD11232) and Dr. Gray’s (R01HD102050) birth cohorts; Dr. Serghides’ laboratory infrastructure, Dr.
Goldstein’s AI algorithms, and Dr. Dreyfuss’ mediation analysis and causal inference methods to elucidate the
effects of HIV and specific ARV exposure on the placenta and child neurodevelopment and growth through age
5 years via these Specific Aims: 1a) Identify clinical and laboratory features that predict neurodevelopmental
and growth outcomes in CHEU, 1b) Determine whether placental histologic diagnoses advance
neurodevelopmental and growth outcome prediction, and 2) Incorporate placental stereology features into
prediction models for neurodevelopmental and growth outcomes. Identifying HIV- and specific ARV-related
placental abnormalities and associations with adverse CHEU outcomes has great potential to improve child
health by informing ARV selection in pregnancy and early identification and intervention for at-risk children."
"BEBELL, LISA M",,Microbiome-driven immune changes and growth stunting in HIV-exposed uninfected children,533813,,2026-02-06T00:00:00,"Despite increasing access to antiretroviral therapy (ART) in pregnancy, the >1 million children born annually to pregnant individuals with HIV (PHIV) who are HIV-exposed but uninfected (HEU) remain at >2-fold higher risk of growth stunting and infectious morbidity than HIV-unexposed children. Though the origins of adverse HEU child health outcomes are poorly understood, mounting evidence suggests that abnormal microbiome development may play a key role. However, the mechanisms remain elusive, and a better mechanistic understanding is essential to improve care. Our overarching goals are to identify clinical, environmental, diet, and epidemiologic features associated with growth stunting in HEU children, characterize mechanisms of host-microbe communication, and link gut microbiome profiles to immune development in growth stunted HEU children using a multi’omics approach. To do so, we will leverage data, biobanked, and newly collected samples from an ongoing prospective longitudinal birth cohort in Uganda to relate growth stunting, diarrheal disease burden, and adverse clinical outcomes to microbiome-driven changes in HEU child immunity. Innovation: Our disease model examining and characterizing relationships between transferred maternal immunity, child gut microbiome and immune profile development, and childhood growth stunting is novel, highly relevant, and conceptually innovative. Distinct advantages of our proposed research include 1) simultaneous comparison of samples from HIV-exposed and -unexposed groups to minimize confounding, 2) rich clinical, epidemiologic, and environmental exposure data in a well-characterized longitudinal cohort, 3) integrated multi’omics approach leveraging metagenomics, metabolomics, and immun’omics, to identify novel mechanisms of growth stunting and immune development. Investigators: Our interdisciplinary team with expertise in epidemiology, birth cohorts and infectious diseases (Bebell); immunology (Alter, Bernshtein), multi’omics (Mehta, Chan, Huttenhower) is well-poised to complete this work. Approach: We will leverage biobanked samples and extend follow-up of enrolled mother-child dyads in Dr. Bebell’s (K23AI138856) birth cohort, Dr. Bernstein’s adaptations of the Systems Serology platform to enteric organisms, and Dr. Mehta’s established multi’omics laboratory and data pipeline infrastructure to elucidate the effects of maternal HIV exposure and microbiome composition on child growth and immune development through age 5 via these Specific Aims: 1) Identify clinical metadata features associated with growth stunting in HEU children with fine resolution; 2) Characterize gut microbiome features associated with growth stunting in HEU children and establish mechanisms of host-microbe communication using metabolomics; 3) Define alterations in transplacental antibody transfer and breast milk antibody composition specific to pathogenic and non-pathogenic gut organisms in PHIV and growth-stunted HEU children. Identifying HIV-related microbiome abnormalities and immune mechanisms of growth faltering has great potential to improve child health outcomes by informing vaccine strategies, microbiome therapy, and early intervention for children at high risk of poor growth outcomes."
"BEBELL, LISA M",,Mechanistic intersection between placental vascular and newborn neuronal development,715595,,2026-02-09T00:00:00,"PROJECT SUMMARY
More than one million children who are HIV-exposed but uninfected (HEU) are born to pregnant people with HIV
(PPHIV) every year. HEU children have poorer early-life outcomes than their HIV-unexposed peers, including
an increased risk of adverse neurodevelopmental outcomes. The pathophysiology of HEU neurodevelopmental
outcomes is poorly understood. Mounting evidence suggests that altered placental gene expression may play a
key mechanistic role, but the mechanisms have not been fully elucidated. A better understanding of the
mechanisms of adverse developmental outcomes in HEU children is essential to improve the care of PPHIV and
their offspring. Our overarching goal is to determine the effects of maternal HIV infection and specific
antiretrovirals (ARVs) on placental and neural development, identify shared mechanisms of abnormal vascularity
affecting both placenta and fetal brain, and how these perturbations impact HEU child neurodevelopment.
Leveraging our ongoing multi-country birth cohort and linked placental biobank, we will perform spatial
transcriptomics analysis, immunostaining, flow cytometry, and leverage a mouse model of pregnancy to
determine which gene expression changes occur in the setting of maternal HIV and ARVs that might be linked
to adverse neurodevelopmental outcomes. Innovation: Distinct advantages of our proposed research include
1) novel focus on the placenta-brain axis and the placenta as a source of adverse child health outcomes, 2) large
multi-site cohort across HIV-affected regions of Africa and use of formalin-fixed samples, and 3) innovative
methods to identify intervenable mechanisms. Investigators: Our interdisciplinary mPI team with expertise in
HIV and birth cohorts (Bebell), placental immunology in HIV (Gray) and mouse models of ARVs (Serghides)
paired with expertise in spatial transcriptomics (Arora), computational analysis (Shu), maternal and child health
(Ngonzi, Kumbakumba) and perinatal pathology (Roberts, Mtshali) is well-poised to complete this work.
Approach: We will leverage biobanked placental samples from mother-child dyads enrolled in mPI Bebell's
(K23AI138856/ R01HD11232) and mPI Gray's (R01HD102050) birth cohorts, mPI Serghides' established mouse
model of ARVs and HIV in pregnancy, and mPI Gray's established HIV immunology laboratory to elucidate
mechanisms of HIV and ARV exposure on the placenta and neurodevelopment through via these Specific Aims:
1) investigate the impact of HIV and specific ARVs on placental spatial proteomic and transcriptomic expression
differences, 2) compare quantitative and functional β-catenin, LEF-1 and FXIIIA1 expression between PPHIV
and HU controls, and 3) assess endothelial network development in placenta and brain tissue during pregnancy
and early life in HIV- and ARV-exposed mice. Identifying mechanisms HIV- and ARV-related placental
abnormalities and adverse HEU child neurodevelopment and growth has great potential to improve child health
outcomes by optimizing ARV selection in pregnancy and identifying and intervening early for children at risk of
adverse growth and neurodevelopmental outcomes."
"BEBELL, LISA M",,Mechanistic intersection between placental vascular and newborn neuronal development,36131,,2026-02-11T00:00:00,"PROJECT SUMMARY
More than one million children who are HIV-exposed but uninfected (HEU) are born to pregnant people with HIV
(PPHIV) every year. HEU children have poorer early-life outcomes than their HIV-unexposed peers, including
an increased risk of adverse neurodevelopmental outcomes. The pathophysiology of HEU neurodevelopmental
outcomes is poorly understood. Mounting evidence suggests that altered placental gene expression may play a
key mechanistic role, but the mechanisms have not been fully elucidated. A better understanding of the
mechanisms of adverse developmental outcomes in HEU children is essential to improve the care of PPHIV and
their offspring. Our overarching goal is to determine the effects of maternal HIV infection and specific
antiretrovirals (ARVs) on placental and neural development, identify shared mechanisms of abnormal vascularity
affecting both placenta and fetal brain, and how these perturbations impact HEU child neurodevelopment.
Leveraging our ongoing multi-country birth cohort and linked placental biobank, we will perform spatial
transcriptomics analysis, immunostaining, flow cytometry, and leverage a mouse model of pregnancy to
determine which gene expression changes occur in the setting of maternal HIV and ARVs that might be linked
to adverse neurodevelopmental outcomes. Innovation: Distinct advantages of our proposed research include
1) novel focus on the placenta-brain axis and the placenta as a source of adverse child health outcomes, 2) large
multi-site cohort across HIV-affected regions of Africa and use of formalin-fixed samples, and 3) innovative
methods to identify intervenable mechanisms. Investigators: Our interdisciplinary mPI team with expertise in
HIV and birth cohorts (Bebell), placental immunology in HIV (Gray) and mouse models of ARVs (Serghides)
paired with expertise in spatial transcriptomics (Arora), computational analysis (Shu), maternal and child health
(Ngonzi, Kumbakumba) and perinatal pathology (Roberts, Mtshali) is well-poised to complete this work.
Approach: We will leverage biobanked placental samples from mother-child dyads enrolled in mPI Bebell's
(K23AI138856/ R01HD11232) and mPI Gray's (R01HD102050) birth cohorts, mPI Serghides' established mouse
model of ARVs and HIV in pregnancy, and mPI Gray's established HIV immunology laboratory to elucidate
mechanisms of HIV and ARV exposure on the placenta and neurodevelopment through via these Specific Aims:
1) investigate the impact of HIV and specific ARVs on placental spatial proteomic and transcriptomic expression
differences, 2) compare quantitative and functional β-catenin, LEF-1 and FXIIIA1 expression between PPHIV
and HU controls, and 3) assess endothelial network development in placenta and brain tissue during pregnancy
and early life in HIV- and ARV-exposed mice. Identifying mechanisms HIV- and ARV-related placental
abnormalities and adverse HEU child neurodevelopment and growth has great potential to improve child health
outcomes by optimizing ARV selection in pregnancy and identifying and intervening early for children at risk of
adverse growth and neurodevelopmental outcomes."
