pi_name,institution,title,abstract,amount,notice_date
"ADAMS, PETER D.",UNIVERSITY OF PENNSYLVANIA,Project 1: Epigenetic control of cell identity and inflammation in aging,"SUMMARY
The epigenome and transcriptome determine cell identity and function. In liver, transcriptional regulator Hnf4α
contributes to hepatocyte identity. We found that aging results in decreased expression of highly expressed
Hnf4α target genes, suggestive of loss of cell identity. The cause and consequence of loss of cell identity and
whether its reversal can be an intervention for healthy aging is not well understood.
 This PPG has predicted that to maintain their identity over the lifespan cells possess chromostasis
mechanisms that maintain integrity of the dynamic epigenome, retard chromatin change and hence maintain
healthy cell identity, tissue phenotype and function. As a potential chromostasis mechanism, in non-dividing
cells, such as liver hepatocytes, histone variant H3.3 accumulates with age. Hira is a DNA replication
independent histone chaperone that deposits histone H3.3 into nucleosomes, especially at active gene bodies,
promoters and enhancers. Recently, we found that inactivation of Hira specifically in mouse liver hepatocytes
causes downregulation of highly expressed Hnf4α target genes, apparent loss of hepatocyte identity and
transcriptomic, metabolic and inflammatory dysfunction of aging liver. The mechanism by which age-dependent
deposition of histone H3.3 preserves cell identity and whether this can be targeted for healthy aging is unknown.
 Accumulation of senescent cells in aged tissues also contributes to tissue aging, in part via pro-
inflammatory Senescence-Associated Secretory Phenotype (SASP). This PPG previously showed that
senescent cells expel chromatin from the nucleus into the cytoplasm, generating cytoplasmic chromatin
fragments (CCF). CCF are sensed by the cytoplasmic cGAS/STING pathway, thereby activating NFκB and
SASP. Our previous and ongoing studies showed that in senescent cells, HIRA localizes to PML nuclear bodies,
and that both HIRA and PML, in conjunction with autophagy regulator p62SQSTM1 (p62), control activation of
the cGAS/STING pathway and SASP through an H3.3-independent non-canonical pathway. The mechanism by
which HIRA, PML and p62 control cGAS/STING is unknown.
 In collaboration with other members of this PPG team, these knowledge gaps will be addressed:
Aim 1. Investigate loss of hepatocyte cell identity in aged liver.
Aim 2. Investigate the role of Hira in chromostasis and maintenance of cell identity in aging liver.
Aim 3. Investigate the role of HIRA in expression of SASP by senescent cells.
Completion of these Specific Aims will define novel causes of aging and set a route to healthy aging interventions.",401405,2026-01-28T00:00:00
"ADAMS, SEAN HARRISON",UNIVERSITY OF CALIFORNIA AT DAVIS,Metabolism and Metabolic Health Core,"ABSTRACT—METABOLISM AND METABOLIC HEALTH (MMH) CORE
Investigators interested in mechanisms underlying the pathophysiology of obesity, diabetes and related
metabolic diseases will benefit from a comprehensive analysis of components regulating energy balance,
macronutrient combustion and metabolism in live animals. Simple tests that compare food intake to weight
gain, or that measure metabolically-relevant analytes from a single static condition, fail to fully capture nuanced
bioenergetic and metabolic phenotypes, changes in feeding behaviors, or alterations of body composition.
Therefore, the Metabolism and Metabolic Health (MMH) Core has been designed and structured to provide
investigators with expert consultation, state-of-the-art instrumentation, and technical support to assess—in live
mice—energy balance, energy intake (EI) and digestion, energy expenditure (EE), metabolic efficiency, EI-EE
coupling phenotypes, macronutrient metabolism, hormone action and secretion, body/tissue composition, and
associations with the microbiome and xenometabolome. The MMH Core will be service-oriented, client-facing,
and research-supportive. The MMH Core will be staffed by a Leader, co-Leader, Core Coordinator, Technical
Specialists, and 5 Scientific Consultants.
The mission of the MMH Core will be accomplished through the following 2 Specific Aims:
Specific Aim 1: Provide clients with innovative and unique assets and approaches to deeply-
characterize key nodes involved with energy balance, food intake, glucose and triglyceride
metabolism, metabolic hormone sensitivity, body composition and gut microbiota metabolism in live
mice.
Specific Aim 2: Provide clients with consultation services focused on study design and interpretation
of results in the areas of metabolic physiology, obesity, and diabetes.
Under these specific aims, the MMH Core will carry out the following activities:
 • Providing acute, mid, and long -term assessments of EI and sensitivity to EI-regulating hormones in
 male and female mice as models of diabetes, obesity, and other metabolic disorders;
 • Offering a battery of bioenergetics and EE tests, including RER complex pattern and frequency
 analysis, EE-EI coupling as a measure of energy balance regulation, and characterization of TNZ
 and TNP, including under temperature extremes, norepinephrine, exercise, or timed meal
challenges;
 • Conducting analyses of body composition by EchoMRI and PixiMus DEXA and studies of
 macronutrient metabolism via glucose and insulin tolerance tests, continuous glucose monitoring,
 and hepatic triglyceride production;
 • Providing innovative and unique services to assess the microbiome and xenometabolome,
 metabolic and feeding efficiency, and whole-body imaging to complement services obtained from
 the PB Core;
 • Assisting investigators to generate high-quality and reproducible research results for publications,
 pilot data for grant proposals, and preclinical findings to inform human clinical trials;
 • Being flexible and responsive to user requests for new and customizable assays and procedures;
 • Participating in the Vibrant Program to assist and train a new generation of scientists with a tailored
 focus toward underrepresented investigators and increasing diversity in biomedical research
Through their previous association with the MMPC, the investigators participating in the MMH Core have
proven expertise and capabilities in the study of energy metabolism, bioenergetics, body composition, glucose
and lipid homeostasis, food intake, metabolomics, and gut microbiota in live mice. When coupled with state-of-
the-art equipment, facilities, and core analytical labs at UC Davis, the MMH Core will be a unique and highly-
impactful scientific asset to national investigators interested in metabolic physiology and the pathophysiology of
diabetes and obesity.",184102,2026-01-30T00:00:00
"ADEBIYI, ADEBOWALE ",UNIVERSITY OF MISSOURI-COLUMBIA,Renal Vascular Smooth Muscle NaV Channels: Regulation and Contribution to Hypoperfusion in Neonatal Ischemic Acute Kidney Injury,"Voltage-gated sodium (NaV) channels are essential membrane proteins that mediate sodium ion (Na⁺) influx in
response to membrane depolarization. This rapid Na⁺ entry is critical for generating and propagating action
potentials in excitable cells, including neurons, skeletal muscle, and cardiac muscle. The nine functionally
characterized NaV isoforms (NaV1.1–NaV1.9), encoded by SCN genes, exhibit distinct tissue distributions and
physiological functions. Mutations in NaV channels contribute to a range of neonatal and adult diseases,
highlighting their role in pathological processes. While their contributions to neuronal and cardiac excitability are
well established, NaV channels are also expressed in the vasculature, where their pathophysiological significance
remains unclear. Although NaV channels have been identified in mesenteric, pulmonary, coronary, and femoral
arteries, their regulation and function in the renal preglomerular microvasculature remain unexplored. Our
preliminary findings suggest that NaV1.5 contributes to the regulation of intrarenal arterial tone in the neonatal
kidney, revealing a previously underappreciated role for this channel in neonatal vascular physiology. In neonatal
pig renal vascular smooth muscle cells (VSMCs), NaV1.5 channels are spatially localized in close proximity to
the Na⁺-Ca²⁺ exchanger (NCX). Activation of NaV channels promotes Ca²⁺ influx and vasoconstriction through
reverse-mode NCX activity and L-type Ca²⁺ channels (LTCCs). Additionally, hypoxia/reoxygenation (H/R)
stimulates contraction of the neonatal pig renal artery through the NaV-NCX-LTCC axis. Our pilot studies further
suggest that nitric oxide (NO) regulates NaV1.5 expression in neonatal renal VSMCs via the forkhead box protein
O1 signaling pathway, a mechanism that may drive alterations in endothelial-to-VSMC signal transduction and
contribute to renal ischemia-reperfusion (IR)-induced hypoperfusion—a key factor in the development of acute
kidney injury (AKI). This project aims to (1) elucidate the regulation of NaV1.5 expression and activity in renal
VSMCs by NO-dependent signaling; (2) determine the role of NaV1.5 in H/R-induced intracellular Na⁺ and Ca²⁺
overload in renal VSMCs and its contribution to renal vasoconstriction; and (3) assess whether NaV-mediated
increases in renal vascular resistance contribute to IR-induced kidney hypoperfusion and AKI. To accomplish
these objectives, we will employ a multidisciplinary approach that integrates biochemical analyses, liquid
chromatography-tandem mass spectrometry, intracellular ion measurements, patch-clamp electrophysiology,
vessel myography, and neonatal pig models of renal IR. We will evaluate the therapeutic potential of clinical NaV
channel modulators and utilize a transgenic SCN5A neonatal pig model. Findings from this study will provide
fundamental insights into the regulatory mechanisms and functional significance of renal vascular NaV1.5,
establishing its potential as a therapeutic target for mitigating neonatal AKI.",588892,2026-02-05T00:00:00
"ADELMAN, ZACH N.",TEXAS A&M AGRILIFE RESEARCH,Self-Eliminating Strategy To Control Gene Drive,"The ability to deliver pathogen-resistance genes into mosquito populations has long been sought as a potential
alternative for disrupting dengue or malaria transmission where funds and infrastructure are the limiting factors
in effective mosquito control. While effective gene drive transgenes based on CRISPR/Cas9 have been
developed for model organism Drosophila and for malaria mosquitoes, Aedes aegypti, the most medically
important vector of dengue, yellow fever and chikungunya viruses, lags behind for reasons that remain largely
unexplored and unknown. In this project, D. melanogaster and A. aegypti will be employed to evaluate novel
hypotheses regarding how genome structure and DNA repair influence both homing gene drive and transgene
removal based on single strand annealing. Following from previous work, multigeneration cage experiments
will be performed on this transgene removal strategy in the context of an active gene drive in both flies and
mosquitoes, followed by a wave of transgene removal (Aim 1). Next, the role of local microhomology, nuclease
characterisics and DNA repair protein recruitment will be examined on both the rates of both homing gene
drive and transgene removal in A. aegypti, where gene drive has lagged behind (Aim 2). Finally, the role of
chromosomal position on both homing gene drive and transgene removal will be tested in the context of both
synthetic targets and new haplolethal target genes (Aim 3). This innovative approach takes advantage of
naturally occurring processes that are conserved throughout eukaryota to completely eliminate all transgenic
sequences following potential field releases. Thus, it is anticipated that this project will have a substantial
impact on National and International conversations concerning gene drive technology as a whole, and will raise
expectations for what is possible in any future trial to generate pathogen-resistant mosquitoes.",749703,2026-02-09T00:00:00
"ADIGUN, ALEXANDRIA ",UNIVERSITY OF PENNSYLVANIA,Illuminating the Molecular Mechanisms of Replication and Transcription Coordination,"Project Summary/Abstract
The goal of this proposal is to understand how replication and transcription are spatially and temporally
coordinated at molecular scales during embryonic development. A long-standing assertion is that RNA Pol II (Pol
II) is completely evicted from DNA during replication to avoid steric conflict between transcription and replication
machinery. This eviction hypothesis rests largely on in vitro or population and time-averaged genomics or
biochemical experiments. These either may not recapitulate endogenous contexts or are unable to capture the
interactions kinetics of Pol II’s association with chromatin with adequate temporal resolution (of seconds to
minutes). In fact, recent in vivo experiments suggest that Pol II is not completely evicted from chromatin but
remains in proximity (~40nm) to promoters and gene bodies during replication. This relationship is facilitated by
Pol II interacting with PCNA, a sliding clamp protein associated with actively replicating domains in the nucleus
that grow and disappear as replication completes. These contradictory findings call into question the molecular
mechanisms that govern the coordination of transcription and replication machinery. I propose to use advanced
live microscopy and single molecule tracking to directly measure the interaction kinetics of transcription and
replication proteins in real time in developing Drosophila embryos. This work will provide molecular scale insights
on the coordination of replication and transcription in an in vivo context.
Our lab has established high resolution light-sheet microscopy which enables tracking of single protein
molecules within the nuclei of live Drosophila embryos. Single molecule tracking reveals how individual proteins
move within the nucleus and the kinetics of protein-protein and protein-chromatin interactions. Using these
approaches along with perturbations to replication and transcription, I will investigate the chromatin binding
kinetics of Pol II and PCNA as transcription is activated post-replication. To further understand how transcription
is reactivated post-replication I will similarly investigate the distributions and kinetics of the pioneer transcription
factor Zelda that is a ubiquitous activator in Drosophila embryos. Preliminary data from our lab shows that Zelda
is excluded from domains of active replication marked by PCNA yet is detected near these sites. I hypothesize
that i) Pol II is retained within actively replicating domains to avoid complete eviction from chromatin to enable
rapid re-engagement and that ii) Zelda swiftly transitions from its excluded state post-replication to engage at
these sites to facilitate transcriptional activation.",49538,2026-02-13T00:00:00
"ADLER-MILSTEIN, JULIA ROSE","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",Advancing Coordination of Home and Community based Services for the ADRD Population,"Project Summary Abstract
Older adults with Alzheimer's disease and related dementias (ADRD) rely on a broad array of health and social
services to address needs ranging from traditional medical care to supports for basic activities of daily living. A
critical set of services is those that allow individuals with ADRD to remain at home as opposed to residing in an
institutional setting. Referred to as home- and community-based services (HCBS), these services span from
clinical services (e.g., skilled home health, in-home palliative care) to services that focus on custodial and social
needs (e.g., home health aides, adult day, respite). Despite their widespread use, there is little data
characterizing the organizations that deliver HCBS, or how well they coordinate with traditional institutional
providers that also care for those with ADRD. Lack of accessible data precludes investigation into availability of
HCBS across different geographies, scope of services offered, organizational relationships, quality, efficiency,
and beyond. Addressing this gap is particularly essential for the ADRD population because they use HCBS at
such high levels.
Our proposal, submitted in response to NIA PAR-19-070, focuses on HCBS for those with dementia and offers
a multi-method approach to capture systematic data on HCBS organizations and how well they engage in care
coordination. Our approach leverages newly-available Medicaid claims/encounter data for HCBS to generate
the first publicly-available, national-level datasets that list and characterize the organizations delivering HCBS to
the ADRD population. Next, we will identify the organizational networks - including HCBS and institutional
organizations – based on which organizations care for the same individuals. Prior work has defined networks of
clinical providers that resulted in widely-used measures of healthcare markets (e.g., hospital referral regions).
However, the definitions do not include HCBS. Defining networks that include HCBS and serve a shared ADRD
population will allow us to characterize the features of the networks (e.g., size, density of ties) in addition to
evaluating outcomes (e.g., hospital readmissions, emergency department visits) for those cared for by these
networks. Finally, by measuring and comparing care coordination activities in networks with better and worse
outcomes (via a large-scale survey of HCBS organizations in those networks), we can identify actionable policy
and practice-based strategies that improve care for a vulnerable population. Taken together, our results will
inform policy and practice strategies to improve delivery of HCBS for the ADRD population that are currently not
well coordinated in relation to our complex and fragmented healthcare delivery system.",707308,2026-01-22T00:00:00
"ADRIAN, MOLLY ",SEATTLE CHILDREN'S HOSPITAL,Advancing Suicide Intervention Strategies for Teens During High Risk Periods,"Project Summary/Abstract
The proposed project is designed to evaluate the impact of two interventions designed to bridge acute care
and outpatient services in comparison with usual care. The long-term goal of this program of research is to
improve healthcare system’s response to youth who present to acute care due to suicide risk and effectively
reduce risk during the transition to outpatient care. The current study aims to evaluate treatment that begins
with Collaborative Assessment and Management of Suicidality (CAMS) or Safety Planning Intervention with
follow-up (SPI+). Adolescents, parents, and clinicians will participate in the project to advance to following
Research Aims: 1) Assess the comparative effectiveness of CAMS and SPI+ compared to usual care and 2)
Evaluate the mechanism of change accounting for the therapeutic effects of the interventions. The project
aligns with Strategy 3.2 and 3.3 in the NIMH Strategic Plan and the National Action Alliance for Suicide
Prevention Research Prioritization Task Force through the evaluation of interventions to optimize outcomes
in community practice settings.",851602,2026-01-22T00:00:00
"AGADJANYAN, MICHAEL G",INSTITUTE FOR MOLECULAR MEDICINE,"Safety/Tolerability/Immunogenicity of first-in-human Aβ DNA vaccine, AV-1959D Phase 1 trials in early-stage AD subjects: based on IND18953 cleared by FDA.","Project Summary
Recent data from clinical trials with humanized or fully human mAbs targeting Aβ suggest that immunotherapy
could clear/reduce brain amyloid plaques and even slow cognitive decline in vaccinated subjects when initiated
as a preventive measure. However, passive immunotherapy with even the most effective anti-Aβ mAb is not
practical and cost-effective as a preventive measure in healthy subjects due to the need for frequent (monthly)
administrations of high concentrations (~800mg IV injections/each time) of this immunotherapeutic in a
substantial patient population. At the same time, high doses of mAb frequently (~30%) induce ARIA-E and ARIA-
H. In contrast, AD vaccine, similar to the vast majority of vaccines in general, could be very effective when used
as a preventive/early intervention measure. Today, only limited results are available from ACC001, CAD106,
and UB311 epitope vaccine clinical trials, but fortunately, comprehensive data on AN-1792 are published. These
data demonstrated that the AN-1792 vaccine has induced antibodies specific to N-terminus of amyloid in ~19%
immunized AD patients without causing ARIA-E and ARIA-H abnormalities. Importantly the follow-up analysis
revealed that even after 14 years post-vaccination, the vaccinated subjects were plaque-free, and there was a
significant inverse correlation between peripheral blood anti-Aβ antibody titers and the plaque counts. Despite
the reduction of Aβ pathology, vaccination did not improve cognitive functions likely due to tau pathology buildup.
These data support our long-standing proposal of starting anti-Aβ vaccination with AV-1959D as a prophylactic
measure in subjects at risk for AD to inhibit/reduce oligomerization of Aβ and delay downstream pathological
processes. However, based on an ethical imperative raised by the FDA during our pre-IND meeting, they
recommended us to test our Aβ vaccine AV-1959D in participants with early-stage AD patients prior to initiating
the preventive trials in asymptomatic people at risk of MCI/AD. Therefore, here we propose to initiate a Phase 1
safety trial with the first-in-human Aβ DNA vaccine, AV-1959D in early-stage MCI/AD patients based on FDA
cleared IND18953 developed under an NIA cooperative agreement (U01 AG048310). Importantly, our vaccine
strategy differs from all previous or current vaccines tested in clinical trials, as our approach is based on the very
immunogenic and proprietary MultiTEP platform designed for human use and aimed to (i) overcome self-
tolerance by inducing Th cell responses to MultiTEP, but not to self-Aβ epitopes; (ii) diminish variability of immune
responses due to HLA diversity in humans; (iii) augment anti-Aβ antibody production through activation of both
naïve and pre-existing memory Th cells, especially beneficial for elderly patients with immunosenescence.
Therefore, in Phase 1 trials, the first-in-human MultiTEP-based DNA vaccine targeting Aβ1-11 B cell epitope
should be safe and should induce therapeutically sufficient titers of anti-Aβ antibodies in an appreciable number
of vaccinated early stage AD subjects. Our future program includes preventive vaccine trial in asymptomatic
people at risk of MCI/AD using only the most immunogenic and safe dose of AV-1959D.",1903959,2026-01-30T00:00:00
"AGNER, SHANNON CHRISTINE",WASHINGTON UNIVERSITY,Role of Mertk in pathological neurodevelopment in mice with congenital Zika virus infection,"Project Summary/ Abstract
Congenital and perinatal infections are a leading cause of fetal and infant morbidity and mortality. There is
increasing evidence that brain injury in babies with congenital and perinatal infections is caused not only by direct
injury from the pathogen itself, but also may be due to the inflammatory or immune response to the pathogen.
Targeted immunotherapies that allow pathogen control and removal but minimize bystander brain injury are
largely unexplored. This proposal investigates the role of the receptor tyrosine kinase, Mertk, in cognitive and
behavioral dysfunction in mice after congenital Zika virus (ZIKV) infection. Recent global epidemics link
congenital ZIKV infection to neurodevelopmental abnormalities including microcephaly, intracranial
calcifications, ventriculomegaly, and cognitive and behavioral impairment. Recent data indicate that ZIKV-
exposed children without major structural brain abnormalities at birth may still have cognitive and behavioral
deficits. Mertk, a receptor tyrosine kinase expressed by astrocytes and microglia, has been implicated in
autoimmune, infectious and oncologic processes. It is not expressed by neurons, so immune-specific pathways
can be probed without disturbing neuronal biology.
Mertk facilitates microglial- and astrocyte- mediated synaptic
pruning during early brain development and also mediates phagocytosis of cells and cellular debris in the brain.
The hypotheses to be tested are: (1) Increased prenatal and early postnatal Mertk signaling during congenital
ZIKV infection mediates immune-mediated neuronal injury; (2) increased postnatal Mertk signaling in microglia
and astrocytes during congenital ZIKV leads to increased phagocytosis of mature neurons and synaptic pruning;
and (3) increased Mertk signaling due to congenital ZIKV infection mediates abnormalities in functional
connectivity, cognition, and behavioral deficits following congenital ZIKV infection. Understanding mechanisms
of brain injury in ZIKV-exposed children is critical for providing interventions that improve neurodevelopment
once ZIKV is detected. The proposed mechanisms also have broader implications for the effects of other
neuroinflammatory insults on the developing brain. This mentored career development award provides the
applicant, a uniquely trained pediatric neurologist with expertise in medical image analysis, formal training in
animal models of early neurodevelopment along with advanced neuroimmunology and developmental
neuroscience research methods, including immune cell profiling, histochemical analysis of brain tissue and
optical imaging of functional brain cortical connectivity. The environment for the proposed research is an
institution that is deeply committed to development of early career physician scientists and provides the applicant
direct access to field leaders in developmental neuroscience, infectious diseases and widefield optical imaging.
The training and data that will result from this award will provide a foundation for the applicant to transition to an
independent physician scientist and lead critical, rigorous studies in the development of mouse models of
congenital and perinatal infections that affect the developing brain.",234303,2026-01-26T00:00:00
"AGRAWAL, DEVENDRA K.",WESTERN UNIVERSITY OF HEALTH SCIENCES,Research Education Program in Immunologic and Allergic Diseases,"Western University is one of the few universities in the United States devoted exclusively to train professionals with a distinct focus on health science education, currently educating about 4,000 professional students each year. Allergic and immunologic diseases are either primary or secondary to diseases involving several systems, including oral health, eyes, feet and ankle, and others. Most of the health professionals, including Osteopathic Medicine physicians, Podiatrist, Optometrist, Dentist, and Pharmacists routinely see patients with prevalent allergic and immunologic diseases. Thus, the expansion of opportunities and resources for research training of future health professionals in biomedical research areas relevant to NIAID mission will have a profound impact in advancing scientific knowledge and better management of patients. Our application builds upon the extensive pre-clinical and clinical research and mentoring expertise of Western University faculty who conduct research in an array of areas in basic, translational, and clinical sciences, tackling complex health problems.  We will strategically recruit 15 qualified, motivated, and research-oriented participants per year from a large pool of qualified health professional students from Western University Osteopathic Medicine, Dentistry, Optometry, Podiatry, and Pharmacy programs in the proposed 2.5 months (~10 weeks) R25 training program in the summer between the first and second year. The NIAID R25 full-time summer research education will focus on student research interests in allergic and immunologic diseases, the most prevalent disorders, and commonly encountered in clinical practice. This will facilitate the participants in achieving their goals to become the next generation of research workforce conducting state-of-the-art research in NIAID mission areas and apply knowledge in areas of extremely high importance for public health. The research education will be supplemented with mentoring, courses in research techniques, scientific and grant writing, responsible conduct of research, including ethics in research and reproducibility of the research findings through scientific rigor and reproducibility, and presentation skills. We have selected a group of experienced advisors to interact with R25 trainees and actively participate in all activities of the R25 program including daily research training, regular meetings with students, journal clubs, Fall Research Day, and publishing research findings. The R25 participants, mentors and research advisors will submit their comments and suggestions on the program. Research and scholarly activity of the participants will be tracked throughout their program and beyond during residency and professional and research career. The R25 program is enthusiastically supported by the Western University Provost and the Deans of the Colleges participating in this program.",377175,2026-01-30T00:00:00
"AGUIRRE, ANDREW JAMES",DANA-FARBER CANCER INST,Mechanisms of response and resistance to KRAS inhibition in pancreatic cancer,"PROJECT SUMMARY/ABSTRACT
Pancreatic ductal adenocarcinoma (PDAC) is a devastating cancer, with a five-year survival of only 10%. There
is an urgent need to develop new therapeutic strategies for this disease. Oncogenic KRAS mutations occur in
most patients and co-occur with alterations in several different tumor suppressor genes, including TP53,
CDKN2A, SMAD4, ARID1A and others. Multiple different transcriptional subtypes of PDAC have also been
observed, such as the classical and basal-like programs, which define distinct subsets of disease with differing
prognosis and therapeutic response. The recent development of new small molecule inhibitors of KRAS that
target KRAS mutations frequently observed in PDAC has the potential to transform the treatment of this disease.
We and others have shown that primary and acquired resistance mechanisms can limit the clinical benefit of
KRAS inhibitor monotherapy in cancer; thus, understanding the mechanisms of response and resistance to
KRAS inhibition in PDAC will be critical to maximize the potential of these therapies. This proposal will use novel
mutant-selective KRAS and pan-RAS inhibitors, unique human organoid and mouse models of PDAC, and
innovative single-cell and functional genomic approaches to define the genetic, transcriptional and
microenvironmental factors that impact response to KRAS inhibition in PDAC. In Aim 1 we will investigate how
tumor suppressor genotype can modify response to KRAS inhibition using CRISPR-Cas12a tumor suppressor
gene knockout screens in both in vitro and in vivo systems to simultaneously model multiple PDAC genotypes
and systematically define genetic biomarkers and mechanisms of sensitivity or resistance to KRAS inhibition. In
Aim 2, we will define the role of PDAC transcriptional cell state in modifying response to KRAS inhibition using
novel isogenic murine PDAC organoids and human patient-derived PDAC organoids representing the basal-like,
classical and neuronal-like subtypes of PDAC. We will characterize subtype-specific adaptive mechanisms of
response to KRAS inhibition and evaluate subtype plasticity with a goal to develop combination therapy
strategies with KRAS inhibition to target each subtype. In Aim 3, we will build on preliminary single-cell RNA
sequencing (scRNA-seq) data from human PDAC biopsies showing that the tumor microenvironment (TME)
shapes the transcriptional phenotype and therapeutic response of PDAC cells. We will examine response to
oncogenic Kras inhibition in new mouse models of the basal-like, classical and neuronal-like subtypes of PDAC
and will interrogate the role of paracrine signaling mechanisms from the TME in modifying malignant cell state
and response to KRAS inhibition using ex vivo scRNA-seq and drug sensitivity profiling assays. Collectively,
these studies will form a foundation for development of new biomarkers and combination therapies with KRAS
inhibition that can be evaluated in future clinical trials for PDAC patients.",505595,2026-01-26T00:00:00
"AHMED, ZUBAIR M.",UNIVERSITY OF MARYLAND BALTIMORE,Usher Proteins in the Inner ear Structure and Function,"Hearing loss (HL) is an etiologically diverse condition that can occur at any age and severity level, affecting 1 in
500 infants and more than 360 million people globally1; 2. In numerous ethnicities, we have previously identified
pathogenic variants in the CIB2 gene encoding Calcium and Integrin-Binding protein 2 (CIB2) as the etiology of
HL4-6. In past funding periods, we discovered that CIB2 is expressed in the mouse hair cell stereocilia and binds
to the TMC1 and TMC2 components of the hair cell MET complex, and that deafness-causing CIB2 mutations
disrupt these interactions. We concluded that CIB2 is essential for the MET function7. We also generated two
mouse models carrying the human deafness-related Cib2 variants (Cib2F91S and Cib2R186W knock-ins) and
characterized them together with a mouse line lacking CIB2 (Cib2ko). We found that Cib2F91S and Cib2ko mouse
strains are deaf and lack typical MET responses in the auditory hair cells, despite the existence of tip links that
are ordinarily responsible for gating the MET channels. In contrast, the p.R186W mutation does not disrupt the
interaction between CIB2 and TMC1/27, and MET currents in mutant mice are diminished but still detectable. It
is particularly intriguing that CIB2's participation in the MET machinery may be responsible for at least some of
the several well-known effects of Ca2+ on hair cell mechanotransduction. Here, we will investigate the precise
function of CIB2 in MET. We hypothesize that CIB2 is a calcium-dependent element that regulates sensitivity of
the MET channels and force transmission to these channels in the mammalian auditory hair cells of. Our findings
further determined that CIB2 deficiency causes an overgrowth of transducing shorter row stereocilia in the hair
bundle without altering the non-transducing tallest row stereocilia7. This observation cannot be explained solely
by the loss of mechanotransduction, since blockage of the MET channels causes an opposite effect, the
retraction of transducing stereocilia8; 9. Hence, CIB2 must have some role in stereocilia growth, unrelated to
mechanotransduction. Here, we will investigate the involvement of CIB2 in the molecular networks implicated in
the development and patterning of auditory stereocilia bundles. A recent work has demonstrated functional
redundancy between CIB2 and CIB3 proteins in regulating MET function3. Therefore, using in vitro and in vivo
rescue experiments, we will test the hypothesis that cochlear hair cells require CIB2 for faster
mechanotransduction and specific hair bundle shape. Finally, we will explore the function of CIB3 in hearing.
The expected outcomes of this study are to uncover the precise mechanism of deafness associated with CIB2
deficiency, the physiological role of CIB proteins in hair cell functions, especially in MET, and their role in
stereocilia staircase patterning. The potential for positive impact is inherent; deciphering the functions of HL
proteins is a critical step towards the development of actual therapies for the treatment and/or prevention of HL.",622550,2026-01-21T00:00:00
"AHN, BUMSOO ",WAKE FOREST UNIVERSITY HEALTH SCIENCES,Synergistic Effects of Unacylated Ghrelin and Endurance Exercise on Sarcopenia and Mobility Loss,"Project Summary/Abstract
Sarcopenia, the progressive loss of muscle mass and function, universally impacts the aging population,
contributing to loss of mobility and independence in older adults. With the rapid growth of the aging population,
there is an urgent need for effective strategies against sarcopenia. Exercise is the most effective intervention
that increases muscle mass and function in younger adults, but its benefits are attenuated in older adults due to
diminished responses to exercise training. Over the years, several candidate molecules, including metformin,
antioxidants, and resveratrol were combined with endurance exercise (EE) in an attempt to increase training-
induced benefits; however, these interventions failed to enhance training responses and, in some cases, reduced
the positive effects of exercise. Given metformin’s inhibitory effects on mitochondrial respiration and the ability
of antioxidants to scavenge signaling molecules in response to exercise, a logical next step is to combine EE
with a candidate molecule that specifically enhances mitochondrial bioenergetics and its downstream pathways.
A strong such candidate is unacylated ghrelin (UnAG), whose circulating levels are significantly decreased in
older adults and mice. Our pilot data provides evidence that UnAG combined with endurance exercise
(UnAG+EE) additively increases mitochondrial bioenergetics, while synergistically improving motor coordination,
muscle mass and contractile function. Our data also revealed that UnAG activated both shared (i.e., PGC-1α)
and distinct (i.e., mTORC2) pathways compared to those triggered by EE alone, suggesting that UnAG+EE may
provide synergistic and complementary benefits. Building on our compelling preliminary data, we hypothesized
that the combination of UnAG+EE will enhance mitochondrial bioenergetics and preserve NMJ integrity in older
mice, providing synergistic protection for sarcopenia. Our specific aims will focus on the effects of UnAG, EE,
and UnAG+EE on mitochondrial bioenergetics and oxidative stress (Aim 1), motor neuron cell numbers and
inflammation in the spinal cord and neuromuscular junction (Aim 2), and muscle mass, function, and protein
quality in skeletal muscle (Aim 3) in older mice. We will also assess additive or synergistic effects of UnAG+EE
on key endpoint measures for each aim. Transcriptomic analysis will be performed to identify differentially
expressed genes and pathways influenced by our interventions, which can provide essential information for
mechanistic investigations in the future. If our results support the hypothesis, UnAG+EE will be the first
combination therapy that shows additive or synergistic effects for sarcopenia. UnAG+EE also has great potential
for translation, given the established safety of UnAG and its mimetics in humans. Finally, our proposal aligns
directly with the current Strategic Directions of the NIA, “Develop effective interventions to maintain health, well-
being, and function, while preventing or reducing the burdens of age-related diseases, disorders, and disabilities.",599623,2026-01-29T00:00:00
